ID,Nombre,Dirección,Código postal,Ciudad,Provincia,País,Dirección completa,Consulta geocodificación,Latitud,Longitud,Observaciones
63,NÁUTICA TRITÓN,"Pol. Ind. Las Algaidas, Nave 6",18613,PUERTO DE MOTRIL,Granada,España,"Pol. Ind. Las Algaidas, Nave 6, 18613 PUERTO DE MOTRIL, Granada, España","Pol. Ind. Las Algaidas, Nave 6, 18613 PUERTO DE MOTRIL, Granada, España",,,
64,CRISVE TURISMO  / (Náutica Mantenimiento y Ocio),"Ctra. Nacional 320, Km 220",19120,SACEDON,Guadalajara,España,"Ctra. Nacional 320, Km 220, 19120 SACEDON, Guadalajara, España","Ctra. Nacional 320, Km 220, 19120 SACEDON, Guadalajara, España",,,
65,LABOA NAUTIKA ETA TAILERRA,"C/ Donibane Kalea, 49 Bajo",20110,PASAI DONIBANE,Gipuzkoa,España,"C/ Donibane Kalea, 49 Bajo, 20110 PASAI DONIBANE, Gipuzkoa, España","C/ Donibane Kalea, 49 Bajo, 20110 PASAI DONIBANE, Gipuzkoa, España",,,
66,MARINA ELKANO,,20750,ZUMAYA,Gipuzkoa,España,"20750 ZUMAYA, Gipuzkoa, España","20750 ZUMAYA, Gipuzkoa, España",,,Puerto Deportivo Zumaia
67,NÁUTICA PLAYAUNDI,MINATERA KALEA 3-4,20280,HONDARRIBIA,Gipuzkoa,España,"MINATERA KALEA 3-4, 20280 HONDARRIBIA, Gipuzkoa, España","MINATERA KALEA 3-4, 20280 HONDARRIBIA, Gipuzkoa, España",,,PUERTO DEPORTIVO
68,NORAIA NÁUTICA,Bº INTXAURRETA S/N AGINAGA,20170,USURBIL,Gipuzkoa,España,"Bº INTXAURRETA S/N AGINAGA, 20170 USURBIL, Gipuzkoa, España","Bº INTXAURRETA S/N AGINAGA, 20170 USURBIL, Gipuzkoa, España",,,
69,IDAMAR,"Avda. de Enlace, 16",21001,HUELVA,Huelva,España,"Avda. de Enlace, 16, 21001 HUELVA, Huelva, España","Avda. de Enlace, 16, 21001 HUELVA, Huelva, España",,,
70,FIBRAMAR,RUA DO CRUCEIRO Nº 8,15117,LAXE,A Coruña,España,"RUA DO CRUCEIRO Nº 8, 15117 LAXE, A Coruña, España","RUA DO CRUCEIRO Nº 8, 15117 LAXE, A Coruña, España",,,
71,GALIBOAT S.L,"POLIGONO AUGALEVADA, Parcela Nº23",15200,NOIA,A Coruña,España,"POLIGONO AUGALEVADA, Parcela Nº23, 15200 NOIA, A Coruña, España","POLIGONO AUGALEVADA, Parcela Nº23, 15200 NOIA, A Coruña, España",,,
72,MOTONÁUTICA VALDI,"C/ Escaselas, 85-87",15154,FINISTERRE,A Coruña,España,"C/ Escaselas, 85-87, 15154 FINISTERRE, A Coruña, España","C/ Escaselas, 85-87, 15154 FINISTERRE, A Coruña, España",,,
73,OUTBOARD NAUTICA,"Tarabelo, 32",15160,SADA,A Coruña,España,"Tarabelo, 32, 15160 SADA, A Coruña, España","Tarabelo, 32, 15160 SADA, A Coruña, España",,,
74,YATESPORT (SADA),Pto. Deportivo s/n,15160,SADA,A Coruña,España,"Pto. Deportivo s/n, 15160 SADA, A Coruña, España","Pto. Deportivo s/n, 15160 SADA, A Coruña, España",,,
75,TALLERES BOTA,"C/ Teuleries, 5",25004,LLEIDA,Lleida,España,"C/ Teuleries, 5, 25004 LLEIDA, Lleida, España","C/ Teuleries, 5, 25004 LLEIDA, Lleida, España",,,
76,CARAL MARINE BUSINESS S.L.,"GUADIANA 9, URBANIZACION EL BOSQUE",28670,VILLAVICIOSA DE ODON,Madrid,España,"GUADIANA 9, URBANIZACION EL BOSQUE, 28670 VILLAVICIOSA DE ODON, Madrid, España","GUADIANA 9, URBANIZACION EL BOSQUE, 28670 VILLAVICIOSA DE ODON, Madrid, España",,,
77,RIBER JET,"C/ Caucho, 73",28850,TORREJÓN DE ARDOZ,Madrid,España,"C/ Caucho, 73, 28850 TORREJÓN DE ARDOZ, Madrid, España","C/ Caucho, 73, 28850 TORREJÓN DE ARDOZ, Madrid, España",,,
78,RIOMAR NÁUTICA,"Avda. Marcial Llorente, 50",28696,PELAYOS DE LA PRESA,Madrid,España,"Avda. Marcial Llorente, 50, 28696 PELAYOS DE LA PRESA, Madrid, España","Avda. Marcial Llorente, 50, 28696 PELAYOS DE LA PRESA, Madrid, España",,,
79,MARINA BENALMÁDENA,"Av. Juan Sebastian Elcano, Centro Náutico, Locales 14 y 15",29630,Benalmádena Costa. Málaga,Málaga,España,"Av. Juan Sebastian Elcano, Centro Náutico, Locales 14 y 15, 29630 Benalmádena Costa. Málaga, Málaga, España","Av. Juan Sebastian Elcano, Centro Náutico, Locales 14 y 15, 29630 Benalmádena Costa. Málaga, Málaga, España",,,
80,NÁUTICA ÁNGEL CRESPOS,"CALLE CARRIL DE MONTAÑEZ Nº12, POL. INDUSTRIAL SAN JULIAN",29004,"Málaga, MÁLAGA",Málaga,España,"CALLE CARRIL DE MONTAÑEZ Nº12, POL. INDUSTRIAL SAN JULIAN, 29004 Málaga, MÁLAGA, Málaga, España","CALLE CARRIL DE MONTAÑEZ Nº12, POL. INDUSTRIAL SAN JULIAN, 29004 Málaga, MÁLAGA, Málaga, España",,,
81,NÁUTICA DAVID,VARADERO DE PUERTO BANÚS S/N,29660,MARBELLA,Málaga,España,"VARADERO DE PUERTO BANÚS S/N, 29660 MARBELLA, Málaga, España","VARADERO DE PUERTO BANÚS S/N, 29660 MARBELLA, Málaga, España",,,
82,"NÁUTICA SERVIMAR  / SERVIMAR AXARQUIA, S.L. / NÁUTICA MIGUEL RIVAS","Puerto de Caleta, Nave 1",29751,CALETA DE VÉLEZ,Málaga,España,"Puerto de Caleta, Nave 1, 29751 CALETA DE VÉLEZ, Málaga, España","Puerto de Caleta, Nave 1, 29751 CALETA DE VÉLEZ, Málaga, España",,,
83,PESCATÚN,"Prto. Deportivo, S/N Bajo Edif. Varadero",29630,BENALMÁDENA,Málaga,España,"Prto. Deportivo, S/N Bajo Edif. Varadero, 29630 BENALMÁDENA, Málaga, España","Prto. Deportivo, S/N Bajo Edif. Varadero, 29630 BENALMÁDENA, Málaga, España",,,
84,ASCAR - ASTILLEROS DE CARTAGENA,Muelle Alfonso XII s/n,30202,Cartagena,Murcia,España,"Muelle Alfonso XII s/n, 30202 Cartagena, Murcia, España","Muelle Alfonso XII s/n, 30202 Cartagena, Murcia, España",,,
85,NÁUTICA MAR MENOR,"Av. Dr. Artero Guirao, 236",30740,SAN PEDRO DEL PINATAR,Murcia,España,"Av. Dr. Artero Guirao, 236, 30740 SAN PEDRO DEL PINATAR, Murcia, España","Av. Dr. Artero Guirao, 236, 30740 SAN PEDRO DEL PINATAR, Murcia, España",,,
86,SERVINAUTICA MAZARRÓN / (SERVICIOS NÁUTICOS MAZARRÓN),"Plaza del mar, 1",30860,PUERTO DE MAZARRÓN,Murcia,España,"Plaza del mar, 1, 30860 PUERTO DE MAZARRÓN, Murcia, España","Plaza del mar, 1, 30860 PUERTO DE MAZARRÓN, Murcia, España",,,LOCAL 1
87,"VARADERO LA MANGA, S.L.","Zona Ind. Naves 3, 4 y 5",30380,LA MANGA DEL MAR MENOR,Murcia,España,"Zona Ind. Naves 3, 4 y 5, 30380 LA MANGA DEL MAR MENOR, Murcia, España","Zona Ind. Naves 3, 4 y 5, 30380 LA MANGA DEL MAR MENOR, Murcia, España",,,Puerto Deportivo Tomas Maestre
88,TALLERES IRISARRI E HIJOS,"Ctra Nueva, 68",31513,ARGUEDAS,Navarra,España,"Ctra Nueva, 68, 31513 ARGUEDAS, Navarra, España","Ctra Nueva, 68, 31513 ARGUEDAS, Navarra, España",,,
89,FERRINÁUTICA,"Muelle de Tragove, 4",36630,CAMBADOS,Pontevedra,España,"Muelle de Tragove, 4, 36630 CAMBADOS, Pontevedra, España","Muelle de Tragove, 4, 36630 CAMBADOS, Pontevedra, España",,,
90,"PROMAR MEIRA / LUXURYMOTIONS UNIPESSOAL, LDA. (500097)",,36939,", Bueu PONTEVEDRA",Pontevedra,España,"36939 , Bueu PONTEVEDRA, Pontevedra, España","36939 , Bueu PONTEVEDRA, Pontevedra, España",,,
91,YATESPORT (VIGO),"C/ Marina Punta Lagoa, s/n",36207,"TEIS, VIGO",Pontevedra,España,"C/ Marina Punta Lagoa, s/n, 36207 TEIS, VIGO, Pontevedra, España","C/ Marina Punta Lagoa, s/n, 36207 TEIS, VIGO, Pontevedra, España",,,
